Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2021-06-26,5430753,21665,4943986,14347,619,132683,2.44,0.002910355099024597,0.004687121395686944,0.004005296271756054,5076669,25.0
2021-06-27,5451291,20538,4956714,12728,599,133282,2.44,0.002574440947041623,0.004514519569198683,0.003781796005084326,5089996,25.0
2021-06-28,5472941,21650,4969340,12626,611,133893,2.45,0.002547252070625783,0.0045842649420027035,0.0039715362837904325,5103233,24.0
2021-06-29,5493557,20616,4984037,14697,652,134545,2.45,0.002957535608350437,0.004869560021808495,0.0037668960801879865,5118582,23.0
2021-06-30,5514599,21042,5000393,16356,669,135214,2.45,0.0032816770822527985,0.004972314095655682,0.003830305210267282,5135607,23.0
2021-07-01,5538142,23543,5017321,16928,672,135886,2.45,0.003385333912754529,0.004969899566612979,0.004269213409714867,5153207,22.0
2021-07-02,5561360,23218,5035518,18197,679,136565,2.46,0.0036268359150231078,0.004996835582767867,0.0041923807659680614,5172083,21.0
2021-07-03,5585799,24439,5053417,17899,697,137262,2.46,0.0035545498993350133,0.005103796726833476,0.004394428700893238,5190679,21.0
2021-07-04,5610941,25142,5068901,15484,663,137925,2.46,0.003064065364089208,0.004830178782182948,0.0045010570555796825,5206826,21.0
2021-07-05,5635294,24353,5083441,14540,654,138579,2.46,0.002868471883747503,0.004741707449700927,0.0043402701971024795,5222020,21.0
2021-07-06,5658672,23378,5101852,18411,737,139316,2.46,0.003621759355523224,0.005318266115356574,0.004148496955083347,5241168,20.0
2021-07-07,5682634,23962,5121919,20067,725,140041,2.46,0.003933277562736093,0.005203996669442157,0.004234562455643243,5261960,20.0
2021-07-08,5707452,24818,5143255,21336,734,140775,2.47,0.004165626203772366,0.005241322184217578,0.004367340919721352,5284030,19.0
2021-07-09,5733218,25766,5165087,21832,726,141501,2.47,0.004244782730002727,0.005157165689930743,0.0045144488293549214,5306588,19.0
2021-07-10,5758300,25082,5182837,17750,752,142253,2.47,0.003436534563696636,0.005314450074557886,0.004374855447673465,5325090,19.0
2021-07-11,5783333,25033,5200219,17382,749,143002,2.47,0.0033537616560197487,0.0052652668133537075,0.004347289998784421,5343221,19.0
2021-07-12,5808473,25140,5216648,16429,710,143712,2.47,0.003159290022208605,0.004964965524957732,0.0043469743139465935,5360360,19.0
2021-07-13,5833175,24702,5236214,19566,780,144492,2.48,0.0037506843474968132,0.005427521710086758,0.004252752831940486,5380706,19.0
2021-07-14,5857002,23827,5257483,21269,786,145278,2.48,0.004061904269000438,0.0054397475292748965,0.004084739442927754,5402761,19.0
2021-07-15,5882295,25293,5278976,21493,791,146069,2.48,0.0040880778882215205,0.005444733545340696,0.004318420925927713,5425045,19.0
2021-07-16,5907999,25704,5300908,21932,799,146868,2.49,0.004154593618156177,0.005470017594424448,0.004369723041771857,5447776,19.0
2021-07-17,5933115,25116,5322345,21437,787,147655,2.49,0.004044024155861692,0.005358553258708597,0.004251185553687531,5470000,19.0
